,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
20,368.0,890.0,368.0,801.0,368.0,979.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,86.0,368.0,267.0,368.0,0.0,368.0,92.0,368.0,920.0,368.0,368.0,368.0,296.0,368.0,1634.0,368.0,296.0,368.0,368.0,368.0,178.0,368.0,368.0,368.0,83.0
21,368.0,890.0,368.0,801.0,368.0,178.0,368.0,1032.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,86.0,368.0,267.0,368.0,0.0,368.0,92.0,368.0,92.0,368.0,368.0,368.0,296.0,368.0,1634.0,368.0,296.0,368.0,0.0,368.0,0.0,368.0,0.0,368.0,83.0
22,368.0,890.0,368.0,801.0,368.0,178.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,86.0,368.0,460.0,368.0,56.0,368.0,92.0,368.0,92.0,368.0,368.0,368.0,296.0,368.0,1634.0,368.0,26.0,368.0,368.0,368.0,0.0,368.0,368.0,368.0,83.0
23,368.0,890.0,368.0,801.0,368.0,178.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,86.0,368.0,267.0,368.0,0.0,368.0,644.0,368.0,92.0,368.0,368.0,368.0,222.0,368.0,1032.0,368.0,74.0,368.0,368.0,368.0,0.0,368.0,552.0,368.0,83.0
24,368.0,890.0,368.0,801.0,368.0,178.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,86.0,368.0,267.0,368.0,0.0,368.0,92.0,368.0,92.0,368.0,368.0,368.0,740.0,368.0,1634.0,368.0,296.0,368.0,368.0,368.0,0.0,368.0,368.0,368.0,83.0
25,368.0,890.0,368.0,801.0,368.0,267.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,86.0,368.0,267.0,368.0,0.0,368.0,92.0,368.0,184.0,368.0,460.0,368.0,296.0,368.0,1634.0,368.0,296.0,368.0,920.0,368.0,0.0,368.0,368.0,368.0,83.0
26,368.0,890.0,368.0,534.0,368.0,178.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,86.0,368.0,267.0,368.0,0.0,368.0,92.0,368.0,92.0,368.0,368.0,368.0,296.0,368.0,860.0,368.0,356.0,368.0,368.0,368.0,0.0,368.0,368.0,368.0,83.0
27,368.0,890.0,368.0,801.0,368.0,178.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,86.0,368.0,267.0,368.0,0.0,368.0,92.0,368.0,92.0,368.0,368.0,368.0,0.0,368.0,1634.0,368.0,296.0,368.0,368.0,368.0,0.0,368.0,368.0,368.0,83.0
28,368.0,890.0,368.0,801.0,368.0,178.0,368.0,258.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,86.0,368.0,534.0,368.0,0.0,368.0,0.0,368.0,92.0,368.0,368.0,368.0,296.0,368.0,276.0,368.0,296.0,368.0,368.0,368.0,0.0,368.0,368.0,368.0,83.0
29,368.0,890.0,368.0,712.0,368.0,178.0,368.0,172.0,368.0,154.0,368.0,172.0,368.0,172.0,368.0,86.0,368.0,267.0,368.0,0.0,368.0,92.0,368.0,92.0,368.0,368.0,368.0,296.0,368.0,1634.0,368.0,296.0,368.0,368.0,368.0,0.0,368.0,368.0,368.0,83.0
30,368.0,890.0,368.0,801.0,368.0,178.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,86.0,368.0,267.0,368.0,0.0,368.0,92.0,368.0,92.0,368.0,368.0,368.0,296.0,368.0,1634.0,368.0,166.0,368.0,460.0,368.0,0.0,368.0,368.0,368.0,166.0
31,368.0,890.0,368.0,801.0,368.0,178.0,368.0,172.0,368.0,172.0,368.0,430.0,368.0,172.0,368.0,86.0,368.0,267.0,368.0,0.0,368.0,92.0,368.0,92.0,368.0,368.0,368.0,296.0,368.0,1634.0,368.0,296.0,368.0,368.0,368.0,0.0,368.0,178.0,368.0,83.0
32,368.0,890.0,368.0,801.0,368.0,178.0,368.0,258.0,368.0,1118.0,368.0,172.0,368.0,172.0,368.0,86.0,368.0,267.0,368.0,0.0,368.0,92.0,368.0,92.0,368.0,368.0,368.0,296.0,368.0,1290.0,368.0,736.0,368.0,368.0,368.0,0.0,368.0,368.0,368.0,83.0
33,368.0,890.0,368.0,801.0,368.0,178.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,86.0,368.0,267.0,368.0,0.0,368.0,92.0,368.0,92.0,368.0,368.0,368.0,296.0,368.0,1634.0,368.0,296.0,368.0,368.0,368.0,0.0,368.0,552.0,368.0,83.0
34,368.0,890.0,368.0,801.0,368.0,178.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,86.0,368.0,267.0,368.0,0.0,368.0,89.0,368.0,92.0,368.0,368.0,368.0,296.0,368.0,1634.0,368.0,296.0,368.0,368.0,368.0,0.0,368.0,368.0,368.0,83.0
35,368.0,890.0,368.0,801.0,368.0,178.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,86.0,368.0,267.0,368.0,0.0,368.0,92.0,368.0,92.0,368.0,368.0,368.0,296.0,368.0,1634.0,368.0,296.0,368.0,368.0,368.0,0.0,368.0,368.0,368.0,83.0
36,368.0,890.0,368.0,801.0,368.0,178.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,86.0,368.0,89.0,368.0,0.0,368.0,92.0,368.0,92.0,368.0,368.0,368.0,296.0,368.0,1634.0,368.0,296.0,368.0,368.0,368.0,0.0,368.0,368.0,368.0,83.0
37,368.0,890.0,368.0,801.0,368.0,178.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,86.0,368.0,267.0,368.0,0.0,368.0,92.0,368.0,644.0,368.0,368.0,368.0,296.0,368.0,1634.0,368.0,296.0,368.0,368.0,368.0,0.0,368.0,368.0,368.0,325.0
38,368.0,890.0,368.0,801.0,368.0,178.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,86.0,368.0,267.0,368.0,0.0,368.0,92.0,368.0,92.0,368.0,368.0,368.0,296.0,368.0,1634.0,368.0,0.0,368.0,368.0,368.0,0.0,368.0,368.0,368.0,0.0
39,368.0,890.0,368.0,801.0,368.0,178.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,86.0,368.0,267.0,368.0,0.0,368.0,0.0,368.0,92.0,368.0,368.0,368.0,296.0,368.0,1634.0,368.0,296.0,368.0,368.0,368.0,0.0,368.0,368.0,368.0,83.0
40,801.0,801.0,801.0,801.0,801.0,178.0,801.0,172.0,801.0,172.0,801.0,172.0,801.0,172.0,801.0,86.0,801.0,267.0,801.0,0.0,801.0,92.0,801.0,460.0,801.0,368.0,801.0,296.0,801.0,1634.0,801.0,222.0,801.0,368.0,801.0,0.0,801.0,368.0,801.0,83.0
41,801.0,801.0,801.0,801.0,801.0,178.0,801.0,172.0,801.0,172.0,801.0,172.0,801.0,172.0,801.0,86.0,801.0,267.0,801.0,644.0,801.0,92.0,801.0,92.0,801.0,0.0,801.0,296.0,801.0,1634.0,801.0,296.0,801.0,368.0,801.0,445.0,801.0,368.0,801.0,83.0
42,801.0,801.0,801.0,801.0,801.0,178.0,801.0,172.0,801.0,172.0,801.0,86.0,801.0,172.0,801.0,86.0,801.0,1157.0,801.0,0.0,801.0,92.0,801.0,92.0,801.0,0.0,801.0,148.0,801.0,1634.0,801.0,296.0,801.0,368.0,801.0,184.0,801.0,0.0,801.0,83.0
43,801.0,801.0,801.0,801.0,801.0,178.0,801.0,172.0,801.0,172.0,801.0,172.0,801.0,172.0,801.0,86.0,801.0,267.0,801.0,0.0,801.0,92.0,801.0,92.0,801.0,368.0,801.0,276.0,801.0,1032.0,801.0,296.0,801.0,368.0,801.0,0.0,801.0,368.0,801.0,83.0
44,801.0,801.0,801.0,801.0,801.0,178.0,801.0,516.0,801.0,172.0,801.0,172.0,801.0,0.0,801.0,86.0,801.0,267.0,801.0,0.0,801.0,92.0,801.0,92.0,801.0,368.0,801.0,296.0,801.0,1634.0,801.0,296.0,801.0,368.0,801.0,0.0,801.0,368.0,801.0,83.0
45,801.0,801.0,801.0,801.0,801.0,178.0,801.0,172.0,801.0,172.0,801.0,172.0,801.0,172.0,801.0,86.0,801.0,267.0,801.0,0.0,801.0,92.0,801.0,276.0,801.0,623.0,801.0,296.0,801.0,1634.0,801.0,296.0,801.0,552.0,801.0,89.0,801.0,368.0,801.0,83.0
46,801.0,801.0,801.0,801.0,801.0,178.0,801.0,172.0,801.0,172.0,801.0,172.0,801.0,172.0,801.0,86.0,801.0,267.0,801.0,0.0,801.0,184.0,801.0,92.0,801.0,368.0,801.0,296.0,801.0,1634.0,801.0,296.0,801.0,368.0,801.0,0.0,801.0,0.0,801.0,83.0
47,801.0,801.0,801.0,801.0,801.0,178.0,801.0,172.0,801.0,172.0,801.0,172.0,801.0,172.0,801.0,86.0,801.0,267.0,801.0,0.0,801.0,1748.0,801.0,0.0,801.0,368.0,801.0,296.0,801.0,1634.0,801.0,296.0,801.0,368.0,801.0,712.0,801.0,368.0,801.0,83.0
48,801.0,267.0,801.0,801.0,801.0,178.0,801.0,172.0,801.0,172.0,801.0,172.0,801.0,172.0,801.0,86.0,801.0,267.0,801.0,0.0,801.0,92.0,801.0,368.0,801.0,0.0,801.0,296.0,801.0,1634.0,801.0,296.0,801.0,368.0,801.0,0.0,801.0,368.0,801.0,83.0
49,368.0,801.0,368.0,801.0,368.0,178.0,368.0,172.0,368.0,172.0,368.0,344.0,368.0,172.0,368.0,86.0,368.0,267.0,368.0,0.0,368.0,92.0,368.0,368.0,368.0,368.0,368.0,296.0,368.0,1634.0,368.0,296.0,368.0,368.0,368.0,0.0,368.0,368.0,368.0,83.0
50,368.0,801.0,368.0,801.0,368.0,178.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,86.0,368.0,267.0,368.0,0.0,368.0,92.0,368.0,368.0,368.0,368.0,368.0,296.0,368.0,1634.0,368.0,296.0,368.0,368.0,368.0,1424.0,368.0,368.0,368.0,83.0
51,368.0,801.0,368.0,801.0,368.0,178.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,86.0,368.0,267.0,368.0,0.0,368.0,0.0,368.0,368.0,368.0,368.0,368.0,444.0,368.0,1634.0,368.0,296.0,368.0,368.0,368.0,0.0,368.0,368.0,368.0,0.0
52,368.0,801.0,368.0,801.0,368.0,178.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,86.0,368.0,267.0,368.0,0.0,368.0,92.0,368.0,368.0,368.0,368.0,368.0,296.0,368.0,1634.0,368.0,296.0,368.0,368.0,368.0,0.0,368.0,276.0,368.0,83.0
53,368.0,801.0,368.0,801.0,368.0,0.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,86.0,368.0,267.0,368.0,0.0,368.0,0.0,368.0,368.0,368.0,368.0,368.0,592.0,368.0,1634.0,368.0,296.0,368.0,368.0,368.0,0.0,368.0,276.0,368.0,83.0
