,0,1,2,3,4,5,6,7,8,9
73,0.0,5.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,1.0
74,5.0,0.0,5.0,0.0,5.0,25.0,5.0,1.0,5.0,41.0
75,14.0,5.0,14.0,0.0,14.0,25.0,14.0,1.0,14.0,41.0
76,14.0,5.0,14.0,5.0,14.0,25.0,14.0,1.0,14.0,41.0
77,14.0,5.0,14.0,5.0,14.0,20.0,14.0,1.0,14.0,15.0
78,14.0,5.0,14.0,11.0,14.0,15.0,14.0,1.0,14.0,41.0
79,14.0,5.0,14.0,5.0,14.0,25.0,14.0,1.0,14.0,41.0
80,14.0,5.0,14.0,5.0,14.0,25.0,14.0,1.0,14.0,41.0
81,14.0,5.0,14.0,5.0,14.0,25.0,14.0,1.0,14.0,41.0
82,14.0,5.0,14.0,5.0,14.0,19.0,14.0,1.0,14.0,41.0
83,14.0,5.0,14.0,16.0,14.0,19.0,14.0,1.0,14.0,41.0
84,1.0,5.0,1.0,5.0,1.0,25.0,1.0,1.0,1.0,41.0
85,1.0,5.0,1.0,5.0,1.0,10.0,1.0,1.0,1.0,41.0
86,1.0,5.0,1.0,0.0,1.0,25.0,1.0,6.0,1.0,40.0
87,1.0,5.0,1.0,10.0,1.0,9.0,1.0,1.0,1.0,41.0
88,1.0,5.0,1.0,5.0,1.0,25.0,1.0,1.0,1.0,5.0
89,1.0,5.0,1.0,10.0,1.0,20.0,1.0,1.0,1.0,41.0
90,1.0,5.0,1.0,5.0,1.0,19.0,1.0,5.0,1.0,26.0
91,1.0,5.0,1.0,5.0,1.0,25.0,1.0,0.0,1.0,41.0
92,1.0,10.0,1.0,25.0,1.0,25.0,1.0,2.0,1.0,36.0
93,10.0,5.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,31.0
94,14.0,5.0,14.0,5.0,14.0,12.0,14.0,1.0,14.0,45.0
95,14.0,5.0,14.0,15.0,14.0,12.0,14.0,1.0,14.0,40.0
96,14.0,10.0,14.0,0.0,14.0,15.0,14.0,1.0,14.0,41.0
97,14.0,5.0,14.0,5.0,14.0,12.0,14.0,1.0,14.0,41.0
98,14.0,0.0,14.0,5.0,14.0,5.0,14.0,4.0,14.0,41.0
99,14.0,5.0,14.0,5.0,14.0,12.0,14.0,1.0,14.0,41.0
100,14.0,5.0,14.0,5.0,14.0,10.0,14.0,1.0,14.0,41.0
101,14.0,5.0,14.0,5.0,14.0,12.0,14.0,1.0,14.0,41.0
102,14.0,5.0,14.0,5.0,14.0,6.0,14.0,1.0,14.0,41.0
103,0.0,10.0,0.0,10.0,0.0,12.0,0.0,9.0,0.0,0.0
104,5.0,5.0,5.0,15.0,5.0,11.0,5.0,1.0,5.0,35.0
105,20.0,5.0,20.0,5.0,20.0,12.0,20.0,1.0,20.0,1.0
106,10.0,5.0,10.0,5.0,10.0,12.0,10.0,11.0,10.0,1.0
107,8.0,5.0,8.0,5.0,8.0,12.0,8.0,1.0,8.0,0.0
108,5.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,41.0
109,5.0,5.0,5.0,11.0,5.0,25.0,5.0,15.0,5.0,41.0
