,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
20,828.0,1380.0,828.0,178.0,828.0,1104.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,5.0,828.0,2.0,828.0,18.0,828.0,2.0,828.0,0.0,828.0,140.0,828.0,140.0,828.0,140.0,828.0,828.0,828.0,828.0,828.0,644.0,828.0,450.0,828.0,450.0,828.0,150.0,828.0,92.0,828.0,150.0,828.0,644.0,828.0,184.0,828.0,89.0,828.0,89.0,828.0,69.0,828.0,69.0,828.0,12.0,828.0,368.0,828.0,140.0,828.0,828.0,828.0,5.0,828.0,5.0,828.0,552.0,828.0,5.0,828.0,10.0,828.0,10.0,828.0,10.0,828.0,828.0,828.0,2.0,828.0,38.0,828.0,0.0
21,828.0,1380.0,828.0,178.0,828.0,828.0,828.0,2.0,828.0,14.0,828.0,2.0,828.0,5.0,828.0,2.0,828.0,2.0,828.0,4.0,828.0,0.0,828.0,140.0,828.0,140.0,828.0,140.0,828.0,828.0,828.0,460.0,828.0,450.0,828.0,450.0,828.0,450.0,828.0,572.0,828.0,150.0,828.0,150.0,828.0,552.0,828.0,0.0,828.0,89.0,828.0,1040.0,828.0,69.0,828.0,69.0,828.0,6.0,828.0,6.0,828.0,140.0,828.0,828.0,828.0,5.0,828.0,10.0,828.0,5.0,828.0,5.0,828.0,10.0,828.0,10.0,828.0,10.0,828.0,828.0,828.0,6.0,828.0,38.0,828.0,828.0
22,828.0,1380.0,828.0,178.0,828.0,736.0,828.0,2.0,828.0,65.0,828.0,2.0,828.0,5.0,828.0,2.0,828.0,86.0,828.0,2.0,828.0,0.0,828.0,140.0,828.0,140.0,828.0,20.0,828.0,828.0,828.0,828.0,828.0,450.0,828.0,250.0,828.0,450.0,828.0,150.0,828.0,150.0,828.0,150.0,828.0,644.0,828.0,184.0,828.0,89.0,828.0,89.0,828.0,69.0,828.0,69.0,828.0,286.0,828.0,6.0,828.0,140.0,828.0,828.0,828.0,1110.0,828.0,5.0,828.0,5.0,828.0,5.0,828.0,10.0,828.0,10.0,828.0,10.0,828.0,828.0,828.0,2.0,828.0,38.0,828.0,828.0
23,828.0,1380.0,828.0,178.0,828.0,828.0,828.0,2.0,828.0,2.0,828.0,8.0,828.0,5.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,0.0,828.0,140.0,828.0,140.0,828.0,140.0,828.0,828.0,828.0,920.0,828.0,450.0,828.0,400.0,828.0,450.0,828.0,150.0,828.0,150.0,828.0,150.0,828.0,644.0,828.0,184.0,828.0,89.0,828.0,89.0,828.0,69.0,828.0,69.0,828.0,6.0,828.0,0.0,828.0,140.0,828.0,828.0,828.0,0.0,828.0,5.0,828.0,5.0,828.0,5.0,828.0,10.0,828.0,10.0,828.0,10.0,828.0,828.0,828.0,2.0,828.0,0.0,828.0,828.0
24,828.0,1380.0,828.0,178.0,828.0,828.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,5.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,0.0,828.0,140.0,828.0,200.0,828.0,140.0,828.0,828.0,828.0,0.0,828.0,450.0,828.0,450.0,828.0,450.0,828.0,100.0,828.0,50.0,828.0,150.0,828.0,644.0,828.0,184.0,828.0,801.0,828.0,89.0,828.0,69.0,828.0,69.0,828.0,6.0,828.0,828.0,828.0,140.0,828.0,828.0,828.0,0.0,828.0,5.0,828.0,5.0,828.0,89.0,828.0,60.0,828.0,10.0,828.0,5.0,828.0,920.0,828.0,2.0,828.0,69.0,828.0,736.0
25,828.0,1380.0,828.0,178.0,828.0,828.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,5.0,828.0,2.0,828.0,2.0,828.0,4.0,828.0,0.0,828.0,140.0,828.0,140.0,828.0,140.0,828.0,828.0,828.0,828.0,828.0,450.0,828.0,450.0,828.0,500.0,828.0,150.0,828.0,150.0,828.0,150.0,828.0,644.0,828.0,0.0,828.0,89.0,828.0,89.0,828.0,69.0,828.0,69.0,828.0,4.0,828.0,6.0,828.0,140.0,828.0,0.0,828.0,0.0,828.0,5.0,828.0,5.0,828.0,5.0,828.0,368.0,828.0,10.0,828.0,10.0,828.0,828.0,828.0,2.0,828.0,38.0,828.0,828.0
26,828.0,1380.0,828.0,178.0,828.0,828.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,5.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,0.0,828.0,16.0,828.0,140.0,828.0,140.0,828.0,644.0,828.0,828.0,828.0,450.0,828.0,450.0,828.0,450.0,828.0,150.0,828.0,150.0,828.0,0.0,828.0,644.0,828.0,184.0,828.0,89.0,828.0,89.0,828.0,69.0,828.0,69.0,828.0,6.0,828.0,20.0,828.0,140.0,828.0,828.0,828.0,0.0,828.0,5.0,828.0,5.0,828.0,50.0,828.0,10.0,828.0,40.0,828.0,10.0,828.0,828.0,828.0,8.0,828.0,38.0,828.0,828.0
27,828.0,1380.0,828.0,267.0,828.0,828.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,0.0,828.0,140.0,828.0,140.0,828.0,140.0,828.0,1012.0,828.0,828.0,828.0,450.0,828.0,450.0,828.0,450.0,828.0,150.0,828.0,150.0,828.0,150.0,828.0,644.0,828.0,184.0,828.0,89.0,828.0,89.0,828.0,69.0,828.0,69.0,828.0,6.0,828.0,6.0,828.0,140.0,828.0,828.0,828.0,0.0,828.0,5.0,828.0,104.0,828.0,5.0,828.0,0.0,828.0,10.0,828.0,10.0,828.0,828.0,828.0,2.0,828.0,38.0,828.0,828.0
28,828.0,1380.0,828.0,178.0,828.0,828.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,0.0,828.0,140.0,828.0,140.0,828.0,140.0,828.0,828.0,828.0,828.0,828.0,450.0,828.0,450.0,828.0,450.0,828.0,150.0,828.0,92.0,828.0,150.0,828.0,644.0,828.0,184.0,828.0,89.0,828.0,267.0,828.0,69.0,828.0,69.0,828.0,900.0,828.0,0.0,828.0,140.0,828.0,184.0,828.0,0.0,828.0,29.0,828.0,5.0,828.0,5.0,828.0,205.0,828.0,10.0,828.0,10.0,828.0,828.0,828.0,2.0,828.0,38.0,828.0,828.0
29,828.0,1380.0,828.0,178.0,828.0,828.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,0.0,828.0,140.0,828.0,140.0,828.0,140.0,828.0,1288.0,828.0,828.0,828.0,450.0,828.0,450.0,828.0,450.0,828.0,150.0,828.0,150.0,828.0,150.0,828.0,644.0,828.0,184.0,828.0,89.0,828.0,89.0,828.0,69.0,828.0,0.0,828.0,6.0,828.0,6.0,828.0,140.0,828.0,828.0,828.0,0.0,828.0,5.0,828.0,5.0,828.0,5.0,828.0,10.0,828.0,10.0,828.0,10.0,828.0,828.0,828.0,2.0,828.0,276.0,828.0,828.0
30,828.0,1380.0,828.0,178.0,828.0,828.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,74.0,828.0,2.0,828.0,8.0,828.0,2.0,828.0,0.0,828.0,140.0,828.0,140.0,828.0,140.0,828.0,828.0,828.0,1012.0,828.0,450.0,828.0,450.0,828.0,450.0,828.0,150.0,828.0,900.0,828.0,200.0,828.0,644.0,828.0,184.0,828.0,89.0,828.0,89.0,828.0,69.0,828.0,0.0,828.0,6.0,828.0,6.0,828.0,442.0,828.0,828.0,828.0,0.0,828.0,25.0,828.0,5.0,828.0,5.0,828.0,68.0,828.0,10.0,828.0,10.0,828.0,828.0,828.0,2.0,828.0,38.0,828.0,828.0
31,828.0,1380.0,828.0,178.0,828.0,828.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,0.0,828.0,140.0,828.0,140.0,828.0,140.0,828.0,828.0,828.0,828.0,828.0,450.0,828.0,450.0,828.0,450.0,828.0,150.0,828.0,150.0,828.0,150.0,828.0,644.0,828.0,89.0,828.0,89.0,828.0,89.0,828.0,69.0,828.0,69.0,828.0,6.0,828.0,6.0,828.0,140.0,828.0,828.0,828.0,0.0,828.0,5.0,828.0,5.0,828.0,5.0,828.0,10.0,828.0,10.0,828.0,22.0,828.0,666.0,828.0,2.0,828.0,38.0,828.0,828.0
32,828.0,1380.0,828.0,356.0,828.0,828.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,0.0,828.0,140.0,828.0,140.0,828.0,140.0,828.0,828.0,828.0,828.0,828.0,700.0,828.0,450.0,828.0,450.0,828.0,300.0,828.0,150.0,828.0,150.0,828.0,644.0,828.0,184.0,828.0,89.0,828.0,89.0,828.0,69.0,828.0,0.0,828.0,6.0,828.0,6.0,828.0,140.0,828.0,828.0,828.0,1118.0,828.0,5.0,828.0,148.0,828.0,5.0,828.0,10.0,828.0,10.0,828.0,10.0,828.0,828.0,828.0,10.0,828.0,38.0,828.0,828.0
33,828.0,1380.0,828.0,178.0,828.0,828.0,828.0,30.0,828.0,2.0,828.0,6.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,10.0,828.0,140.0,828.0,140.0,828.0,140.0,828.0,828.0,828.0,828.0,828.0,450.0,828.0,450.0,828.0,450.0,828.0,150.0,828.0,150.0,828.0,150.0,828.0,644.0,828.0,184.0,828.0,89.0,828.0,89.0,828.0,6.0,828.0,69.0,828.0,6.0,828.0,6.0,828.0,140.0,828.0,828.0,828.0,5.0,828.0,5.0,828.0,282.0,828.0,5.0,828.0,10.0,828.0,10.0,828.0,10.0,828.0,828.0,828.0,2.0,828.0,38.0,828.0,828.0
